Year,Period,Geo_Level,State_ANSI,Commodity_ID,Value
2016,YEAR,STATE,15,1,"5,400,000"
2015,YEAR,STATE,15,1,"6,600,000"
2014,YEAR,STATE,15,1,"7,500,000"
2013,YEAR,STATE,15,1,"8,400,000"
2012,YEAR,STATE,15,1,"7,000,000"
2011,YEAR,STATE,15,1,"7,600,000"
2010,YEAR,STATE,15,1,"8,800,000"
2009,YEAR,STATE,15,1,"8,700,000"
2008,YEAR,STATE,15,1,"8,700,000"
2007,YEAR,STATE,15,1,"7,500,000"
2006,YEAR,STATE,15,1,"7,400,000"
2005,YEAR,STATE,15,1,"8,200,000"
2004,YEAR,STATE,15,1,"5,600,000"
2003,YEAR,STATE,15,1,"8,300,000"
2002,YEAR,STATE,15,1,"7,500,000"
2001,YEAR,STATE,15,1,"8,000,000"
2000,YEAR,STATE,15,1,"8,700,000"
1999,YEAR,STATE,15,1,"10,000,000"
1998,YEAR,STATE,15,1,"9,500,000"
1997,YEAR,STATE,15,1,"9,400,000"
1996,YEAR,STATE,15,1,"6,400,000"
1995,YEAR,STATE,15,1,"5,400,000"
1994,YEAR,STATE,15,1,"4,300,000"
1993,YEAR,STATE,15,1,"2,900,000"
1992,YEAR,STATE,15,1,"2,400,000"
1991,YEAR,STATE,15,1,"2,800,000"
1990,YEAR,STATE,15,1,"2,800,000"
1989,YEAR,STATE,15,1,"3,200,000"
1988,YEAR,STATE,15,1,"2,000,000"
1987,YEAR,STATE,15,1,"1,800,000"
1986,YEAR,STATE,15,1,"3,000,000"
1985,YEAR,STATE,15,1,"1,850,000"
1984,YEAR,STATE,15,1,"1,750,000"
1983,YEAR,STATE,15,1,"2,800,000"
1982,YEAR,STATE,15,1,"990,000"
1981,YEAR,STATE,15,1,"2,210,000"
1980,YEAR,STATE,15,1,"1,440,000"
1979,YEAR,STATE,15,1,"2,190,000"
1978,YEAR,STATE,15,1,"1,680,000"
1977,YEAR,STATE,15,1,"2,270,000"
1976,YEAR,STATE,15,1,"2,120,000"
1975,YEAR,STATE,15,1,"1,860,000"
1974,YEAR,STATE,15,1,"1,540,000"
1973,YEAR,STATE,15,1,"3,040,000"
1972,YEAR,STATE,15,1,"3,640,000"
1971,YEAR,STATE,15,1,"2,930,000"
1970,YEAR,STATE,15,1,"4,300,000"
1969,YEAR,STATE,15,1,"4,130,000"
1968,YEAR,STATE,15,1,"5,700,000"
1967,YEAR,STATE,15,1,"5,440,000"
1966,YEAR,STATE,15,1,"8,040,000"
1965,YEAR,STATE,15,1,"7,500,000"
1964,YEAR,STATE,15,1,"9,947,000"
1963,YEAR,STATE,15,1,"6,651,000"
1962,YEAR,STATE,15,1,"13,392,000"
1961,YEAR,STATE,15,1,"8,432,000"
1960,YEAR,STATE,15,1,"13,272,000"
1959,YEAR,STATE,15,1,"12,999,000"
1958,YEAR,STATE,15,1,"10,634,000"
1957,YEAR,STATE,15,1,"18,496,000"
1956,YEAR,STATE,15,1,"11,136,000"
1955,YEAR,STATE,15,1,"10,872,000"
1954,YEAR,STATE,15,1,"12,425,000"
1953,YEAR,STATE,15,1,"10,330,000"
1952,YEAR,STATE,15,1,"10,288,000"
1951,YEAR,STATE,15,1,"9,625,000"
1950,YEAR,STATE,15,1,"9,375,000"
1949,YEAR,STATE,15,1,"5,375,000"
1948,YEAR,STATE,15,1,"7,375,000"
1947,YEAR,STATE,15,1,"8,738,000"
1946,YEAR,STATE,15,1,"8,625,000"
